"STATION","NAME","DATE","PRCP","TMAX"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-14","0.00","82"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-15","0.00","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-16","0.00","89"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-17","0.00","95"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-18","0.01","92"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-19","0.00","93"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-20","0.02","99"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-21","0.02","99"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-22","1.55","88"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-23","6.86","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-24","0.18","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-25","0.00","88"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-26","0.00","83"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-27","0.71","90"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-28","0.70","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-29","0.70","86"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-30","0.00","91"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-31","0.00","90"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-01","0.00","91"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-02","0.43","93"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-03","0.00","86"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-04","0.00","84"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-05","0.00","83"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-06","0.18","85"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-07","0.75","86"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-08","0.63","80"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-09","0.00","80"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-10","0.00","77"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-11","0.00","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-12","0.00","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-13","0.75","83"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-14","0.00","75"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-15","0.00","82"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-16","0.00","85"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-17","0.00","83"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-18","0.00","84"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-19","0.00","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-20","1.11","80"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-21","0.00","80"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-22","0.00","82"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-23","0.65","73"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-24","0.00","92"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-25","0.00","83"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-26","0.00","83"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-27","0.00","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-28","0.00","77"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-29","0.00","79"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-30","0.04","76"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08-31","0.00","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-01","0.00","93"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-02","0.00","92"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-03","0.02","89"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-04","0.00","73"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-05","0.00","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-06","0.00","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-07","0.00","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-08","0.00","75"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-09","0.02","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-10","0.00","78"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-11","0.00","83"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-12","0.00","86"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-13","0.00","73"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-14","0.08","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-15","0.00","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-16","0.00","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-17","0.00","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-18","0.43","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-19","0.24","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-20","0.00","74"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-21","0.00","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-22","0.00","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-23","0.00","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-24","0.14","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-25","0.08","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-26","1.21","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-27","0.31","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-28","0.77","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-29","0.06","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09-30","0.09","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-01","0.00","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-02","0.00","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-03","0.00","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-04","0.00","76"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-05","0.00","80"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-06","0.00","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-07","0.00","84"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-08","0.00","82"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-09","0.00","80"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-10","0.00","76"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-11","0.00","79"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-12","0.00","78"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-13","0.28","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-14","0.00","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-15","0.00","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-16","0.17","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-17","0.00","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-18","0.06","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-19","0.85","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-20","0.08","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-21","0.00","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-22","0.00","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-23","0.20","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-24","0.00","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-25","0.02","74"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-26","0.00","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-27","0.12","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10-28","0.03","55"
