STATION,NAME,DATE,PRCP,TMAX
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/4/11,0.18,92
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/5/11,0,85
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/6/11,0,93
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/7/11,0,96
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/8/11,0.17,95
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/9/11,0.93,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/10/11,0.52,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/11/11,0.03,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/12/11,0,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/13/11,0,72
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/14/11,0,77
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/15/11,0.8,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/16/11,0.04,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/17/11,0,82
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/18/11,0,84
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/19/11,0,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/20/11,0.18,79
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/21/11,0.45,89
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/22/11,0.02,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/23/11,0.01,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/24/11,0,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/25/11,0,79
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/26/11,0,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/27/11,0.03,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/28/11,0,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/29/11,0,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/30/11,0,88
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/1/11,0,89
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/2/11,0,94
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/3/11,0,84
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/4/11,0,89
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/5/11,0,91
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/6/11,0,86
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/7/11,0,82
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/8/11,0,86
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/9/11,0,91
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/10/11,0,91
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/11/11,0.39,88
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/12/11,0.01,87
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/13/11,0,74
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/14/11,0,82
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/15/11,0,87
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/16/11,0,89
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/17/11,0,95
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/18/11,0.01,92
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/19/11,0,93
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/20/11,0.02,99
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/21/11,0.02,99
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/22/11,1.55,88
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/23/11,6.86,87
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/24/11,0.18,87
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/25/11,0,88
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/26/11,0,83
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/27/11,0.71,90
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/28/11,0.7,87
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/29/11,0.7,86
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/30/11,0,91
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/31/11,0,90
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/1/11,0,91
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/2/11,0.43,93
