TEST DATE,Positive_Pools,Total_Mosquitoes,MIR
2018-06-08 00:06:00,2,1120,1.7857142857142856
2018-06-14 00:06:00,1,1344,0.744047619047619
2018-06-21 00:06:00,3,1359,2.207505518763797
2018-06-28 00:06:00,7,1862,3.7593984962406015
2018-06-29 00:06:00,1,275,3.6363636363636362
2018-07-05 00:07:00,3,750,4.0
2018-07-12 00:07:00,13,1333,9.752438109527382
2018-07-19 00:07:00,17,1244,13.665594855305466
2018-07-26 00:07:00,31,1263,24.54473475851148
2018-08-02 00:08:00,27,1401,19.271948608137045
2018-08-09 00:08:00,31,1548,20.02583979328165
2018-08-16 00:08:00,42,1516,27.704485488126647
2018-08-23 00:08:00,18,458,39.301310043668124
2018-08-30 00:08:00,7,465,15.053763440860216
2018-09-06 00:09:00,3,535,5.607476635514018
2018-09-13 00:09:00,1,331,3.0211480362537766
2018-09-20 00:09:00,4,736,5.434782608695652
2018-09-27 00:09:00,0,377,0.0
2019-06-12 00:06:00,0,966,0.0
2019-06-13 00:06:00,0,2015,0.0
2019-06-14 00:06:00,0,817,0.0
2019-06-20 00:06:00,0,1052,0.0
2019-06-21 00:06:00,0,489,0.0
2019-06-27 00:06:00,0,1510,0.0
2019-07-03 00:07:00,1,612,1.6339869281045751
2019-07-11 00:07:00,0,950,0.0
2019-07-12 00:07:00,0,420,0.0
2019-07-18 00:07:00,1,776,1.288659793814433
2019-07-25 00:07:00,0,869,0.0
2019-08-01 00:08:00,5,965,5.181347150259067
2019-08-08 00:08:00,7,1215,5.761316872427984
2019-08-15 00:08:00,20,2031,9.847365829640571
2019-08-22 00:08:00,31,2279,13.602457218078104
2019-08-29 00:08:00,32,1573,20.3432930705658
2019-09-05 00:09:00,15,854,17.564402810304447
2019-09-12 00:09:00,28,2541,11.019283746556475
2019-09-19 00:09:00,5,1326,3.770739064856712
2019-09-26 00:09:00,5,1166,4.288164665523157
2020-06-11 00:06:00,0,212,0.0
2020-06-12 00:06:00,0,619,0.0
2020-06-18 00:06:00,0,863,0.0
2020-06-25 00:06:00,0,682,0.0
2020-07-02 00:07:00,0,891,0.0
2020-07-09 00:07:00,0,250,0.0
2020-07-14 00:07:00,1,1231,0.8123476848090982
2020-07-16 00:07:00,2,1777,1.1254924029262803
2020-07-23 00:07:00,2,1275,1.5686274509803921
2020-07-30 00:07:00,13,2460,5.284552845528455
2020-08-06 00:08:00,6,1069,5.612722170252572
2020-08-13 00:08:00,18,2258,7.971656333038087
2020-08-20 00:08:00,21,1968,10.670731707317074
2020-08-27 00:08:00,21,2559,8.206330597889801
2020-09-03 00:09:00,13,1359,9.565857247976455
2020-09-10 00:09:00,0,185,0.0
2020-09-17 00:09:00,5,467,10.70663811563169
2020-09-24 00:09:00,0,361,0.0
2020-10-01 00:10:00,0,139,0.0
2021-06-03 00:06:00,0,39,0.0
2021-06-10 00:06:00,0,1701,0.0
2021-06-17 00:06:00,0,1520,0.0
2021-06-24 00:06:00,0,224,0.0
2021-07-01 00:07:00,0,442,0.0
2021-07-08 00:07:00,4,2431,1.6454134101192925
2021-07-15 00:07:00,4,3478,1.1500862564692351
2021-07-22 00:07:00,8,2860,2.797202797202797
2021-07-29 00:07:00,11,1952,5.635245901639345
2021-08-05 00:08:00,22,2712,8.112094395280236
2021-08-12 00:08:00,43,3021,14.233697451175107
2021-08-19 00:08:00,42,2653,15.8311345646438
2021-08-26 00:08:00,24,1216,19.736842105263158
2021-09-02 00:09:00,8,790,10.126582278481013
2021-09-09 00:09:00,1,181,5.524861878453039
2021-09-16 00:09:00,12,1561,7.687379884689302
2021-09-23 00:09:00,4,1087,3.6798528058877644
2021-09-30 00:09:00,3,755,3.9735099337748343
2022-06-10 00:06:00,0,393,0.0
2022-06-17 00:06:00,1,2274,0.43975373790677225
2022-06-23 00:06:00,0,367,0.0
2022-06-30 00:06:00,1,376,2.6595744680851063
2022-07-07 00:07:00,1,105,9.523809523809526
2022-07-14 00:07:00,2,463,4.319654427645789
